commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190828_063405,Binary Black Hole Collision,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070,-920,650,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2,3.6,0.38,-0.15,0.1,1,54.3,-4,7.3
GW190828_065509,Binary Black Hole Collision,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540,-650,690,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1,1.4,0.29,-0.11,0.11,0.99998,33,-4.3,5.3
GW190910_112807,Binary Black Hole Collision,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520,-630,1090,0,-0.2,0.17,78,-9.1,9.3,33.5,-4.1,4.2,0.29,-0.11,0.17,0.99669,74.4,-8.6,8.5
GW190915_235702,Binary Black Hole Collision,32.6,-4.9,8.8,24.5,-5.8,4.9,13.1,-0.3,0.2,1750,-650,710,-0.03,-0.24,0.19,57.2,-5.3,7.1,24.4,-2.3,3,0.32,-0.11,0.11,1,54.7,-5,6.6
GW190916_200658,Binary Black Hole Collision,43.8,-12.6,19.9,23.3,-10,12.5,8.1,-0.5,0.3,4940,-2380,3710,0.2,-0.31,0.33,68,-13.1,18.3,26.9,-5.4,8.2,0.77,-0.32,0.45,0.65727,65,-12.6,17.3
GW190917_114630,Binary Black Hole Collision,9.7,-3.9,3.4,2.1,-0.4,1.1,8.3,-0.8,0.5,720,-310,300,-0.08,-0.43,0.21,11.8,-2.8,3,3.7,-0.2,0.2,0.15,-0.06,0.05,0.76643,11.6,-2.9,3.1
GW190924_021846,Binary Black Hole Collision,8.8,-1.8,4.3,5.1,-1.5,1.2,12,-0.4,0.3,550,-220,220,0.03,-0.08,0.2,13.9,-0.9,2.8,5.8,-0.2,0.2,0.11,-0.04,0.04,1,13.3,-0.9,3
GW190925_232845,Binary Black Hole Collision,20.8,-2.9,6.5,15.5,-3.6,2.5,9.7,-0.6,0.3,930,-350,460,0.09,-0.15,0.16,36.7,-2.8,3.6,15.6,-1.1,1.1,0.19,-0.07,0.08,0.98849,34.9,-2.6,3.5
GW190926_050336,Binary Black Hole Collision,41.1,-12.5,20.8,20.4,-8.2,11.4,8.1,-0.8,0.6,3280,-1730,3400,-0.02,-0.32,0.25,61.9,-12,22.7,24.4,-4.9,9,0.55,-0.26,0.44,0.54334,59.6,-11.8,22.1
GW190929_012149,Binary Black Hole Collision,66.3,-16.6,21.6,26.8,-10.6,14.7,9.7,-0.6,0.4,3130,-1370,2510,-0.03,-0.28,0.23,93.3,-15,23.3,35.6,-7.4,10.2,0.53,-0.2,0.33,0.87042,90.3,-14.6,22.3
